ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID796986990,4/5 Selwyn Ct,TOORAK,922500.0,u,29/04/2017,3,1.0,2.0,4657.0,39.0,-37.8421,145.0237,19946,1292.1113115601884,18.214285714285715,0,647,2861,222
ID525251239,25 Garnet St,ESSENDON WEST,1300000.0,h,16/07/2016,5,2.0,2.0,616.0,69.0,-37.7497,144.8867,22253,2692.250203911218,18.333333333333332,0,1144,6845,375
ID963466840,53 Mater St,COLLINGWOOD,1080000.0,h,22/07/2017,2,1.0,0.0,0.0,129.0,-37.79589,144.98863,19975,628.0357821382547,13.235294117647058,0,1097,5916,553
ID166583203,69 MacPherson St,FOOTSCRAY,757500.0,h,22/08/2016,2,1.0,0.0,258.0,119.0,-37.7959,144.8901,20024,742.9659385321503,17.4,0,1923,8979,620
ID805600006,7 Dudley St,IVANHOE,1615000.0,h,16/07/2016,4,2.0,3.0,758.0,29.0,-37.7668,145.03799999999995,19933,694.3827470537113,26.058823529411764,0,555,1129,160
ID381832588,101 Charles St,ABBOTSFORD,911000.0,h,22/07/2017,2,1.0,0.0,141.0,139.0,-37.80586,144.99499,19976,184.0012955878983,12.235294117647058,0,1214,5603,375
ID914128026,1/572 Moreland Rd,BRUNSWICK WEST,797500.0,t,11/02/2017,3,2.0,2.0,262.0,9.0,-37.7519,144.9324,20035,1025.2940169431072,29.0,0,941,5813,575
ID535003853,310/53 Batman St,WEST MELBOURNE,380000.0,u,15/07/2017,1,1.0,0.0,68.0,6.0,-37.81096,144.95147,19841,385.4542765477732,3.4078212290502794,0,647,2861,222
ID615260393,44 Milton Pde,BUNDOORA,780000.0,h,3/06/2017,3,1.0,1.0,546.0,129.0,-37.69388,145.06463,19984,2539.455361824406,37.666666666666664,0,684,1695,161
ID390687116,10 Shearers Ct,VERMONT SOUTH,1360000.0,h,19/08/2017,5,3.0,2.0,882.0,49.0,-37.85995,145.18579,19899,4471.3572378746,31.666666666666668,0,281,524,75
ID745673866,11/6 Byron St,ELWOOD,313000.0,u,25/02/2017,1,1.0,1.0,0.0,59.0,-37.8766,144.991,19955,380.59862399299726,19.5,0,1666,9333,523
ID730229838,6/24 Kensington Rd,SOUTH YARRA,1365000.0,t,8/10/2016,2,2.0,1.0,1302.0,129.0,-37.8377,145.0021,19947,764.8509728005705,16.214285714285715,0,1100,3636,457
ID843424799,16 Conifer St,HAMPTON,1520000.0,h,16/09/2017,3,1.0,3.0,627.0,5.0,-37.94515,145.01886000000005,19948,1382.0573499890206,33.5,0,1841,9184,533
ID395670497,93 Parkmore Rd,BENTLEIGH EAST,1206000.0,h,3/12/2016,3,1.0,2.0,603.0,59.0,-37.9155,145.0723,19917,2191.1699583453774,29.35483870967742,1,925,4701,308
ID584559111,110 Bell St,COBURG,710000.0,h,29/04/2017,3,1.0,1.0,160.0,119.0,-37.7411,144.9657,19965,249.99596542643874,32.0,0,1097,5916,553
ID587458644,1/1478 Dandenong Rd,OAKLEIGH,690000.0,u,15/10/2016,3,1.0,2.0,340.0,89.0,-37.8968,145.0983,19917,964.1388984805011,29.35483870967742,0,431,971,220
ID599801210,103 Longview Rd,BALWYN NORTH,2000000.0,h,13/05/2017,4,2.0,2.0,627.0,64.0,-37.7848,145.0788,19934,3215.6242627060064,29.0,0,959,4476,324
ID897593954,328 Waterview Bvd,CRAIGIEBURN,552000.0,h,23/09/2017,3,2.0,2.0,448.0,9.0,-37.57869,144.91069,40221,3859.2472761521917,49.0,0,1288,4242,480
ID685653318,22 Champion St,BRIGHTON,2375000.0,h,17/09/2016,3,2.0,2.0,547.0,19.0,-37.9271,145.0034,19949,1219.1317015785926,31.5,0,2744,10289,780
ID724212831,17/93 Highett Rd,HAMPTON,450000.0,u,25/02/2017,2,2.0,1.0,0.0,12.0,-37.9462,145.0212,19948,1532.6077407286098,33.5,0,1841,9184,533
ID741308474,11 Kerferd St,HAMPTON,1610000.0,h,18/06/2016,3,1.0,2.0,569.0,69.0,-37.9419,145.01,19949,867.051704889969,31.5,0,1683,8938,509
ID713601086,1 Chisholm St,ABERFELDIE,726000.0,u,24/09/2016,3,1.0,1.0,229.0,23.0,-37.7606,144.8973,22253,1741.3779440113537,18.333333333333332,0,703,1502,135
ID575467875,4/3 Brookfield Ct,HAWTHORN EAST,430000.0,u,25/02/2017,1,1.0,1.0,2276.0,69.0,-37.8343,145.0547,19853,927.6291985619206,19.09090909090909,0,1253,7401,484
ID806402474,167 Victoria Dr,THOMASTOWN,740000.0,h,3/06/2017,3,2.0,2.0,545.0,36.0,-37.68403,144.99246000000005,20007,1967.7833738787276,40.22222222222222,0,502,1662,118
ID881836245,31 Elder Pde,ESSENDON,1500000.0,h,28/05/2016,3,2.0,3.0,440.0,89.0,-37.7524,144.9074,22253,872.7839134061063,18.333333333333332,0,334,1407,88
ID466256389,1/48 Keilor Rd,ESSENDON NORTH,340000.0,u,18/06/2016,2,1.0,1.0,0.0,59.0,-37.7433,144.9074,20036,1269.6997349993042,27.0,0,334,1407,88
ID115036303,4/6 Crefden St,MAIDSTONE,360000.0,u,23/04/2016,2,2.0,1.0,0.0,69.0,-37.7776,144.8723,20022,2540.4443340300318,21.4,0,610,1743,228
ID521656880,239 Punt Rd,RICHMOND,1570000.0,h,27/06/2016,3,1.0,2.0,248.0,59.0,-37.8198,144.9899,22247,475.0052469652566,10.0,0,824,1890,159
ID352602204,9/88 Marshall St,IVANHOE,480000.0,u,3/09/2016,2,1.0,1.0,0.0,69.0,-37.77,145.0472,19933,198.61304000158756,26.058823529411764,0,555,1129,160
ID383847147,6 McShane St,RESERVOIR,779000.0,h,18/06/2016,3,1.0,2.0,945.0,34.0,-37.7027,145.0001,20009,1011.1014928375637,35.2,0,824,1890,159
ID494300549,37 Roberts St,KEILOR EAST,891000.0,h,18/06/2016,3,3.0,1.0,292.0,21.0,-37.7505,144.8657,22253,4491.990846471276,18.333333333333332,0,555,1129,160
ID173068840,17 Hoffmans Rd,ESSENDON WEST,1422000.0,h,4/06/2016,4,2.0,2.0,505.0,6.0,-37.7518,144.8897,22253,2381.4277782998174,18.333333333333332,0,1144,6845,375
ID137024254,24 Merrett Dr,WILLIAMSTOWN,1172000.0,h,19/11/2016,4,2.0,2.0,344.0,49.0,-37.8617,144.8799,19993,941.2743113953203,20.857142857142858,0,1002,4068,328
ID319711644,3/28 Ormond Rd,ASCOT VALE,432000.0,u,15/10/2016,2,1.0,1.0,0.0,41.0,-37.773,144.9303,20039,789.6655875073268,20.0,0,2489,11817,1268
ID946117206,10/3 Allard St,BRUNSWICK WEST,275000.0,u,15/07/2017,1,1.0,1.0,1388.0,49.0,-37.7684,144.94214,19968,1539.0346683821606,25.333333333333332,0,941,5813,575
ID755842592,3/113 Tennyson St,ESSENDON,595000.0,t,3/12/2016,2,1.0,2.0,752.0,29.0,-37.7553,144.9302,20036,1213.4470499624404,27.0,0,334,1407,88
ID493605827,203/11 Hillingdon Pl,PRAHRAN,710000.0,u,4/06/2016,3,1.0,1.0,0.0,119.0,-37.8516,144.9943,19958,453.96098138349004,13.5,0,659,5219,338
ID984765518,3 Karen Ct,AVONDALE HEIGHTS,670000.0,h,4/06/2016,3,2.0,2.0,671.0,11.0,-37.7593,144.871,22253,3999.52367471433,18.333333333333332,0,1654,9119,550
ID543524615,16/341 Heidelberg Rd,NORTHCOTE,420000.0,u,8/04/2017,2,1.0,1.0,1000.0,44.0,-37.7836,145.0139,19930,558.3167438937231,22.0,0,142,344,39
ID733403290,28 Greenwood Dr,BUNDOORA,805000.0,h,1/07/2017,3,1.0,2.0,669.0,49.0,-37.70834,145.05424,19983,2360.926494480718,34.75,0,684,1695,161
ID872851805,23 Kuranga Rd,VIEWBANK,1140000.0,h,8/04/2017,4,2.0,4.0,863.0,89.0,-37.7317,145.0952,19983,2382.191378038096,34.75,0,647,2861,222
ID301229900,6 Younger St,COBURG,931000.0,h,28/05/2016,4,1.0,1.0,412.0,99.0,-37.7432,144.9768,19965,1190.4535242982693,32.0,0,1071,5783,419
ID274412932,28 Higgins Cl,DINGLEY VILLAGE,915000.0,h,12/08/2017,4,2.0,2.0,649.0,39.0,-37.97158,145.12634,19913,3417.3429678284588,39.48148148148148,0,3327,11071,1069
ID242137521,5 Edgar St,RESERVOIR,1266000.0,h,3/06/2017,5,2.0,2.0,601.0,29.0,-37.7296,145.00714,20011,407.296639956092,31.2,0,885,1901,227
ID431054424,106 Newry St,FITZROY NORTH,1625000.0,h,20/05/2017,3,1.0,0.0,204.0,139.0,-37.7911,144.9818,19974,1229.6506732450016,15.142857142857142,1,2047,9171,742
ID855422168,2/19 Glanfield St,NORTHCOTE,665000.0,u,18/03/2017,2,1.0,1.0,120.0,44.0,-37.7715,145.0075,19929,855.7271800914029,19.923076923076923,1,142,344,39
ID234670611,1/28 Seves St,ALTONA,712000.0,h,17/09/2016,3,1.0,2.0,363.0,6.0,-37.8674,144.8375,19927,308.1813452932352,24.428571428571427,0,2489,11817,1268
ID410032735,2/530 Victoria St,BRUNSWICK WEST,497000.0,u,28/05/2016,2,1.0,1.0,0.0,42.0,-37.7647,144.9412,19968,1654.373878844068,25.333333333333332,1,958,5673,628
ID410104937,47A Madden St,MAIDSTONE,755000.0,h,12/08/2017,3,2.0,2.0,0.0,9.0,-37.78966,144.87821,20023,1486.9107764064831,19.4,0,717,1763,318
ID398734467,1/57 Blyth St,ALTONA,730000.0,u,16/04/2016,3,2.0,1.0,70.0,29.0,-37.868,144.8287,19926,125.94292770856302,26.428571428571427,0,2489,11817,1268
ID885024140,13/37 Greville St,PRAHRAN,342000.0,u,3/09/2016,1,1.0,1.0,0.0,59.0,-37.8486,144.9872,19958,255.33991053967858,13.5,0,659,5219,338
ID246996550,4 Nandeen Ct,KEILOR DOWNS,590000.0,h,15/07/2017,4,2.0,2.0,757.0,39.0,-37.72483,144.8143,20001,1878.7441666834936,34.375,0,2837,9343,1212
ID388692370,22 Sycamore St,CAULFIELD SOUTH,1450000.0,h,13/08/2016,3,2.0,1.0,478.0,94.0,-37.8893,145.0161,19953,1332.3597177909332,23.5,0,1540,6062,477
ID771306773,12 Auckland St,BENTLEIGH,1365000.0,h,1/07/2017,3,1.0,1.0,776.0,94.0,-37.92487,145.04703,19938,1016.8462776503029,36.84615384615385,0,959,4476,324
ID180700048,18/24 Dongola Rd,WEST FOOTSCRAY,620000.0,t,10/09/2016,2,1.0,1.0,144.0,49.0,-37.7926,144.8809,20023,1093.8728311735497,19.4,0,268,736,128
ID539023716,29 Tennyson St,SEDDON,950000.0,h,13/05/2017,3,1.0,0.0,220.0,99.0,-37.8077,144.8883,20024,640.742084031487,17.4,0,885,1901,227
ID122192065,5 Lola St,MULGRAVE,880000.0,h,23/09/2017,5,3.0,2.0,654.0,59.0,-37.92914,145.17372,19913,2878.496114219832,39.48148148148148,0,394,1153,165
ID758306752,43 Ballantyne St,THORNBURY,925000.0,h,24/09/2016,2,1.0,1.0,258.0,49.0,-37.7584,144.9971,20014,393.59789646951896,25.3,0,2403,5212,586
ID351903113,2/6 McKay St,COBURG,500000.0,u,7/11/2016,2,1.0,1.0,0.0,49.0,-37.7405,144.9644,19965,225.22187162579738,32.0,0,1071,5783,419
ID165552593,2/2 Walter St,MITCHAM,970000.0,t,1/07/2017,3,2.0,1.0,263.0,3.0,-37.8179,145.20658,19901,622.3936623323498,36.41379310344828,0,1471,7759,779
ID922640260,3 Waratah Dr,TEMPLESTOWE LOWER,1201000.0,h,3/09/2016,4,2.0,2.0,657.0,41.0,-37.7624,145.1175,19936,5018.045191061672,31.75,0,2403,5212,586
ID470285370,1/36 Pleasant Rd,HAWTHORN EAST,1738000.0,t,15/10/2016,4,3.0,2.0,324.0,17.0,-37.8348,145.0503,19853,1175.3666886608291,19.09090909090909,0,1144,6845,375
ID498336079,638 Riversdale Rd,CAMBERWELL,1750000.0,h,25/02/2017,3,2.0,3.0,780.0,29.0,-37.8328,145.0679,19852,210.4063350333497,22.75,0,3767,18925,2042
ID352194339,5/28 Hampton Pde,WEST FOOTSCRAY,415000.0,h,10/09/2016,2,1.0,1.0,80.0,39.0,-37.806,144.8674,20022,845.628557933134,21.4,0,268,736,128
ID384557170,7 Fairbairn Rd,SUNSHINE WEST,520000.0,h,3/06/2017,3,2.0,2.0,535.0,39.0,-37.79414000000001,144.81855,22241,1406.9766193852065,15.85,0,2532,5455,713
ID793698766,45 Yarra St,ABBOTSFORD,1195000.0,h,27/11/2016,3,2.0,1.0,120.0,21.0,-37.8022,144.9954,19976,296.26093012025535,12.235294117647058,0,1202,5034,333
ID203171707,10 Parton Ct,CARNEGIE,1455000.0,h,3/06/2017,4,2.0,2.0,608.0,81.0,-37.89106,145.04675,19942,425.11111707452267,29.23076923076923,0,3767,18925,2042
ID390059012,3/23 Christine St,VIEWBANK,556000.0,u,3/12/2016,2,1.0,1.0,195.0,24.0,-37.7405,145.0876,19936,1909.7870175498374,31.75,0,584,2731,211
ID216276641,5/35 Moonya Rd,CARNEGIE,585000.0,u,27/06/2016,2,1.0,1.0,108.0,49.0,-37.8973,145.0596,19919,1043.5575124718816,25.375,0,3703,18944,2039
ID806103314,10 Canning St,NORTH MELBOURNE,2920000.0,h,3/09/2016,4,3.0,4.0,310.0,139.0,-37.7958,144.944,19972,710.639606781697,17.0,0,71,261,20
ID729781405,8/67 Denham St,HAWTHORN,415000.0,u,24/09/2016,1,1.0,1.0,0.0,129.0,-37.8192,145.0221,19905,299.8313057975156,13.952380952380953,0,1150,7827,922
ID754203853,2/7 Fawkner St,ABERFELDIE,380000.0,u,18/03/2017,2,1.0,1.0,622.0,49.0,-37.7557,144.8966,22253,1727.3341000666344,18.333333333333332,0,817,1779,181
ID360647364,98 Wonga Rd,RINGWOOD,999999.0,h,23/09/2017,4,2.0,2.0,657.0,7.0,-37.79053,145.2472,19879,2394.00172961341,41.642857142857146,0,394,1153,165
ID163669032,1/22 Nonna St,OAKLEIGH EAST,875000.0,h,8/07/2017,3,2.0,2.0,295.0,13.0,-37.90088,145.11692,19916,1704.3156116072187,31.35483870967742,0,938,6892,553
ID211729264,199 Moor St,FITZROY,947500.0,h,7/11/2016,1,1.0,0.0,87.0,39.0,-37.8019,144.9821,19976,1066.5437711483394,12.235294117647058,0,334,1407,88
ID918660425,4/379 Dandenong Rd,ARMADALE,595000.0,u,17/06/2017,2,1.0,1.0,0.0,69.0,-37.86048,145.01498,19945,588.2889839568262,19.214285714285715,0,2494,11307,1410
ID286614327,11 Rebecca Cl,CHELSEA HEIGHTS,835500.0,h,29/07/2017,5,5.0,4.0,570.0,29.0,-38.03335,145.13212,19861,2135.351256460435,54.15384615384615,0,326,1234,99
ID386128852,114 Reynard St,COBURG,1064000.0,h,8/10/2016,3,2.0,1.0,417.0,79.0,-37.7478,144.9583,19965,750.7386274715087,32.0,0,1071,5783,419
ID412110316,19A Cardinal Rd,OAK PARK,1250000.0,h,29/04/2017,4,2.0,3.0,568.0,16.0,-37.7136,144.92700000000005,20033,683.109786292642,34.0,0,142,344,39
ID272861798,10 Haynes St,HIGHETT,1535000.0,h,22/07/2017,4,2.0,2.0,719.0,21.0,-37.94999,145.03122,19872,952.1971622732891,40.166666666666664,0,2837,9343,1212
ID471626948,211A Woods St,NEWPORT,980000.0,h,9/09/2017,4,3.0,2.0,622.0,14.0,-37.84471,144.86594,19994,1570.0521891635997,16.310344827586206,0,84,293,23
ID156078917,189 Glenlyon Rd,BRUNSWICK EAST,1125000.0,h,18/03/2017,3,1.0,2.0,369.0,5.0,-37.7727,144.9736,19969,1335.5674053798866,24.333333333333332,0,817,1779,181
ID880124264,50 Andrew St,WINDSOR,1500000.0,h,19/11/2016,2,1.0,2.0,0.0,91.0,-37.8518,144.9868,19958,369.6652438258819,13.5,0,1002,4068,328
ID470705348,6 Audrey Cr,GLEN IRIS,3000000.0,h,9/09/2017,5,3.0,2.0,775.0,84.0,-37.85855,145.07775,19848,493.8618528965073,30.666666666666668,0,2047,9171,742
ID315961686,8/98 George St,FITZROY,420000.0,u,25/02/2017,1,1.0,1.0,782.0,44.0,-37.8055,144.9809,19843,935.3978758824896,6.100558659217877,0,330,1855,82
ID416600038,137 Ingles St,PORT MELBOURNE,950000.0,t,27/11/2016,3,2.0,2.0,0.0,7.0,-37.8317,144.9446,20043,1639.3841048745287,0.0,0,659,5219,338
ID409709643,7 Austin Rd,HAMPTON,1050000.0,h,15/10/2016,3,2.0,2.0,357.0,49.0,-37.9449,145.0144,19948,1054.0865983908443,33.5,0,1683,8938,509
ID396445007,10/270 Williams Rd,TOORAK,350000.0,u,22/07/2017,1,1.0,1.0,0.0,49.0,-37.84157,145.00468999999995,19947,403.3863090657252,16.214285714285715,0,647,2861,222
ID403668714,80 Coventry St,SOUTHBANK,1220000.0,h,12/11/2016,3,1.0,1.0,0.0,7.0,-37.8288,144.9679,22238,1167.7673046009031,3.5,0,1100,3636,457
ID551288489,5/9 Rockley Rd,SOUTH YARRA,792500.0,u,22/04/2017,2,1.0,1.0,0.0,49.0,-37.8383,144.9995,19959,630.2812912337122,12.543859649122806,0,1245,3886,447
ID343478048,130 Mitchell St,NORTHCOTE,1090000.0,h,24/09/2016,3,1.0,2.0,318.0,44.0,-37.7733,145.0078,19929,654.6005315016582,19.923076923076923,0,136,302,42
ID654215941,1/24 Edwards St,BURWOOD,1145000.0,t,18/03/2017,3,2.0,2.0,329.0,69.0,-37.8484,145.1013,19849,1863.0396064171678,28.666666666666668,0,941,5813,575
ID624821769,12b Coates St,BENTLEIGH,1435000.0,t,6/08/2016,4,3.0,2.0,291.0,7.0,-37.9278,145.0337,19938,332.84745233113824,36.84615384615385,0,925,4701,308
ID511661296,59A Nolan St,NIDDRIE,1150000.0,t,19/08/2017,3,2.0,1.0,317.0,7.0,-37.74103,144.8851,22253,3205.671159194861,18.333333333333332,0,84,293,23
ID441354312,9 Dale St,MARIBYRNONG,1100000.0,h,14/05/2016,4,2.0,2.0,586.0,12.0,-37.7648,144.8881,22253,2661.0991029060506,18.333333333333332,0,610,1743,228
ID508261249,9/36 The Avenue,BALACLAVA,700000.0,u,12/08/2017,2,0.0,0.0,0.0,79.0,-37.87149,144.99746000000005,19956,412.3731683811407,17.5,0,1672,10063,646
ID448817701,3/8 Ashted Rd,BOX HILL,636000.0,u,19/11/2016,2,1.0,1.0,151.0,49.0,-37.8234,145.1235,20042,498.3280685371195,25.775,0,2744,10289,780
ID200279635,6/4 Ballater St,ESSENDON,521000.0,u,10/09/2016,2,1.0,1.0,0.0,49.0,-37.7504,144.9051,22253,1159.4767763229777,18.333333333333332,1,334,1407,88
ID548722499,15 Marian Ct,ELTHAM NORTH,950000.0,h,9/09/2017,4,2.0,2.0,651.0,29.0,-37.68739,145.14437,19988,2000.376870503901,52.0,0,318,497,140
ID883395444,5 Hedgerow Ct,ALBANVALE,565000.0,h,23/09/2017,3,1.0,2.0,619.0,69.0,-37.74521,144.76863,20002,2769.533268830463,31.375,0,119,452,22
ID763800602,101 The Fairway,KINGSBURY,610000.0,h,12/11/2016,4,1.0,1.0,465.0,49.0,-37.7126,145.03,20009,1880.0616722378445,35.2,0,87,252,37
ID762665662,171 Sterling Dr,KEILOR EAST,695000.0,h,27/06/2016,3,1.0,3.0,0.0,59.0,-37.7483,144.85,20003,3706.4332041099415,29.375,0,555,1129,160
ID143412918,34 Showers St,PRESTON,970000.0,h,3/06/2017,3,1.0,1.0,345.0,69.0,-37.74818,144.99825,20013,335.58337150871773,26.3,0,705,5479,335
ID355167448,71 Barkly St,ST KILDA,2000000.0,h,4/03/2017,5,2.0,2.0,436.0,109.0,-37.8618,144.982,19957,1089.3787976176477,15.5,0,1412,6364,699
ID533274968,11 Margaret Gr,ALPHINGTON,1900000.0,h,27/11/2016,4,2.0,2.0,556.0,89.0,-37.7844,145.0225,19930,761.3847022727584,22.0,0,1202,5034,333
ID525078143,142 Elder St,GREENSBOROUGH,815000.0,h,12/08/2017,3,2.0,2.0,609.0,39.0,-37.71636,145.09792,19984,1382.3793750206464,37.666666666666664,0,663,4010,377
ID238851619,15 Dover St,CAULFIELD SOUTH,1065000.0,h,4/03/2017,2,1.0,1.0,273.0,89.0,-37.895,145.02200000000005,19953,1579.6472476882898,23.5,0,1593,6648,530
ID756035500,2/14 Drysdale St,RESERVOIR,330000.0,u,16/07/2016,2,1.0,1.0,90.0,49.0,-37.7295,145.0243,20011,1901.6496053510014,31.2,1,824,1890,159
ID949308195,34 Moffat St,BRIGHTON,2770000.0,h,19/08/2017,4,3.0,2.0,560.0,19.0,-37.92314,144.99777,19950,843.6309023249687,28.5,0,2897,11243,942
ID121205562,69 Lloyd St,STRATHMORE,1635000.0,h,11/02/2017,4,2.0,3.0,0.0,24.0,-37.7354,144.9128,20034,1451.7122035154923,31.0,0,1412,6364,699
ID224864924,13 Hotham Rd,NIDDRIE,1450000.0,h,29/04/2017,3,1.0,1.0,650.0,4.0,-37.7368,144.8886,20036,3075.584171938636,27.0,0,84,293,23
ID155519306,2 Hazel St,CAMBERWELL,2125000.0,h,28/05/2016,5,3.0,2.0,603.0,39.0,-37.8437,145.069,19850,578.22789233863,26.666666666666668,0,3703,18944,2039
ID222616277,72 Chirnside St,KINGSVILLE,1275000.0,h,24/09/2016,4,2.0,1.0,274.0,109.0,-37.8078,144.8825,20023,709.997515281509,19.4,0,87,252,37
ID791614867,268 Faraday St,CARLTON,435000.0,u,13/08/2016,1,1.0,1.0,0.0,19.0,-37.7982,144.9651,19842,1321.4837267226897,4.7444444444444445,0,97,243,33
ID949106311,119 Hannan St,WILLIAMSTOWN,2200000.0,h,12/08/2017,4,3.0,2.0,650.0,49.0,-37.85925,144.88761,19993,248.4878543638683,20.857142857142858,1,1064,4200,432
ID184034953,21 Barkly St,BOX HILL,1200000.0,h,10/12/2016,3,1.0,2.0,550.0,69.0,-37.8275,145.1298,20042,1177.901479203518,25.775,0,2744,10289,780
ID938171416,18 Warruga Pl,GREENSBOROUGH,1010000.0,h,15/07/2017,3,2.0,2.0,582.0,49.0,-37.71325,145.09532,19984,1047.7101604175773,37.666666666666664,1,663,4010,377
ID657543499,607/2 McGoun St,RICHMOND,592000.0,u,22/07/2017,2,2.0,2.0,2044.0,8.0,-37.817,144.99553999999995,19978,428.0777885196687,9.125,0,885,1901,227
ID692820253,41 Patricia St,KEILOR EAST,1250000.0,h,19/08/2017,4,2.0,2.0,534.0,49.0,-37.74514,144.87313,22253,3982.696758678072,18.333333333333332,0,591,1189,177
ID287556194,50 Park Rd,MIDDLE PARK,1515000.0,h,14/05/2016,2,1.0,0.0,98.0,119.0,-37.8541,144.9665,19958,2117.838667151048,13.5,0,278,489,65
ID479328921,2/36 Alpine Gr,PASCOE VALE,600000.0,t,27/11/2016,3,2.0,1.0,122.0,21.0,-37.7231,144.9373,20034,1168.870345539114,31.0,0,659,5219,338
ID227858765,54 Cooper St,ESSENDON,2335000.0,h,26/08/2017,5,2.0,6.0,1012.0,104.0,-37.74967,144.8977,22253,1775.5924176777391,18.333333333333332,0,330,1855,82
ID964020777,48 Hamilton St,SEDDON,1502000.0,h,26/08/2017,4,3.0,1.0,934.0,5.0,-37.80898,144.88701,19997,762.7410090357795,10.357142857142858,0,885,1901,227
ID511817063,6/51 Armadale St,ARMADALE,704000.0,u,19/11/2016,2,1.0,1.0,0.0,50.0,-37.8573,145.0186,19945,113.70065484105753,19.214285714285715,1,2489,11817,1268
ID430236744,35 Belgrave St,COBURG,1285000.0,h,22/07/2017,3,1.0,2.0,579.0,89.0,-37.74482,144.97499,19965,1063.2234473518856,32.0,0,1097,5916,553
ID754970436,5 Ballarat Rd,MAIDSTONE,610000.0,h,19/08/2017,2,1.0,2.0,208.0,44.0,-37.78865,144.88276000000005,20023,1477.885261749725,19.4,0,717,1763,318
ID390409221,10/79 Oxford St,COLLINGWOOD,1260000.0,u,3/09/2016,2,1.0,1.0,0.0,119.0,-37.8042,144.9845,19976,815.377365097066,12.235294117647058,0,1071,5783,419
ID667901406,50 Swanston St,HEIDELBERG HEIGHTS,662500.0,h,28/05/2016,3,1.0,4.0,552.0,64.0,-37.7379,145.0514,19936,1411.856119943307,31.75,0,1150,7827,922
